[01/19/2025 22:52:01.383] [#0] {"#0": 1} 0 内部事件, 逻辑时钟: 1
[01/19/2025 22:52:01.383] [#1] {"#1": 1} 1 内部事件, 逻辑时钟: 1
[01/19/2025 22:52:01.383] [#2] {"#2": 1} 2 内部事件, 逻辑时钟: 1
[01/19/2025 22:52:01.383] [#0] {"#0": 2} 0 内部事件, 逻辑时钟: 2
[01/19/2025 22:52:01.383] [#1] {"#1": 2} 1 发给 2, 逻辑时钟: 2
[01/19/2025 22:52:01.400] [#2] {"#2": 2, "#1": 2} 1 发给 2, 逻辑时钟: 3
[01/19/2025 22:52:01.400] [#2] {"#2": 3, "#1": 2} 2 内部事件, 逻辑时钟: 4
[01/19/2025 22:52:01.400] [#0] {"#0": 3} 0 内部事件, 逻辑时钟: 3
[01/19/2025 22:52:01.400] [#1] {"#1": 3} 1 发给 2, 逻辑时钟: 3
[01/19/2025 22:52:01.493] [#2] {"#2": 4, "#1": 3} 1 发给 2, 逻辑时钟: 5
[01/19/2025 22:52:01.493] [#2] {"#2": 5, "#1": 3} 2 发给 0, 逻辑时钟: 6
[01/19/2025 22:52:01.533] [#0] {"#0": 4, "#2": 5, "#1": 3} 2 发给 0, 逻辑时钟: 7
[01/19/2025 22:52:01.536] [#0] {"#0": 5, "#2": 5, "#1": 3} 0 发给 1, 逻辑时钟: 8
[01/19/2025 22:52:01.560] [#1] {"#1": 4, "#0": 5, "#2": 5} 0 发给 1, 逻辑时钟: 9
[01/19/2025 22:52:01.560] [#1] {"#1": 5, "#0": 5, "#2": 5} 1 发给 2, 逻辑时钟: 10
[01/19/2025 22:52:01.605] [#2] {"#2": 6, "#1": 5, "#0": 5} 1 发给 2, 逻辑时钟: 11
[01/19/2025 22:52:01.605] [#2] {"#2": 7, "#1": 5, "#0": 5} 2 发给 0, 逻辑时钟: 12
[01/19/2025 22:52:01.616] [#0] {"#0": 6, "#2": 7, "#1": 5} 2 发给 0, 逻辑时钟: 13
[01/19/2025 22:52:01.616] [#0] {"#0": 7, "#2": 7, "#1": 5} 0 内部事件, 逻辑时钟: 14
[01/19/2025 22:52:01.616] [#1] {"#1": 6, "#0": 5, "#2": 5} 1 发给 0, 逻辑时钟: 11
[01/19/2025 22:52:01.649] [#0] {"#0": 8, "#2": 7, "#1": 6} 1 发给 0, 逻辑时钟: 15
[01/19/2025 22:52:01.649] [#2] {"#2": 8, "#1": 5, "#0": 5} 2 内部事件, 逻辑时钟: 13
[01/19/2025 22:52:01.649] [#0] {"#0": 9, "#2": 7, "#1": 6} 0 内部事件, 逻辑时钟: 16
[01/19/2025 22:52:01.649] [#1] {"#1": 7, "#0": 5, "#2": 5} 1 发给 2, 逻辑时钟: 12
[01/19/2025 22:52:01.677] [#2] {"#2": 9, "#1": 7, "#0": 5} 1 发给 2, 逻辑时钟: 14
[01/19/2025 22:52:01.677] [#2] {"#2": 10, "#1": 7, "#0": 5} 2 发给 0, 逻辑时钟: 15
[01/19/2025 22:52:01.727] [#0] {"#0": 10, "#2": 10, "#1": 7} 2 发给 0, 逻辑时钟: 17
[01/19/2025 22:52:01.727] [#0] {"#0": 11, "#2": 10, "#1": 7} 0 发给 1, 逻辑时钟: 18
[01/19/2025 22:52:01.801] [#1] {"#1": 8, "#0": 11, "#2": 10} 0 发给 1, 逻辑时钟: 19
[01/19/2025 22:52:01.801] [#1] {"#1": 9, "#0": 11, "#2": 10} 1 内部事件, 逻辑时钟: 20
[01/19/2025 22:52:01.801] [#2] {"#2": 11, "#1": 7, "#0": 5} 2 内部事件, 逻辑时钟: 16
[01/19/2025 22:52:01.801] [#0] {"#0": 12, "#2": 10, "#1": 7} 0 内部事件, 逻辑时钟: 19
[01/19/2025 22:52:01.801] [#1] {"#1": 10, "#0": 11, "#2": 10} 1 内部事件, 逻辑时钟: 21
[01/19/2025 22:52:01.801] [#2] {"#2": 12, "#1": 7, "#0": 5} 2 内部事件, 逻辑时钟: 17
[01/19/2025 22:52:01.801] [#0] {"#0": 13, "#2": 10, "#1": 7} 0 内部事件, 逻辑时钟: 20
[01/19/2025 22:52:01.801] [#1] {"#1": 11, "#0": 11, "#2": 10} 1 发给 2, 逻辑时钟: 22
[01/19/2025 22:52:01.836] [#2] {"#2": 13, "#1": 11, "#0": 11} 1 发给 2, 逻辑时钟: 23
[01/19/2025 22:52:01.836] [#2] {"#2": 14, "#1": 11, "#0": 11} 2 内部事件, 逻辑时钟: 24
[01/19/2025 22:52:01.836] [#0] {"#0": 14, "#2": 10, "#1": 7} 0 内部事件, 逻辑时钟: 21
[01/19/2025 22:52:01.836] [#1] {"#1": 12, "#0": 11, "#2": 10} 1 发给 0, 逻辑时钟: 23
[01/19/2025 22:52:01.847] [#0] {"#0": 15, "#2": 10, "#1": 12} 1 发给 0, 逻辑时钟: 24
[01/19/2025 22:52:01.847] [#2] {"#2": 15, "#1": 11, "#0": 11} 2 内部事件, 逻辑时钟: 25
